id,name
0,apply eye makeup
1,apply lipstick
2,archery
3,baby crawling
4,balance beam
5,band marching
6,baseball pitch
7,basketball
8,basketball bunk
9,bench press
10,biking
11,billiards
12,blow dry hair
13,blowing candles
14,body weight squats
15,bowling
16,boxing punching bag
17,boxing speed bag
18,breast stroke
19,brushing teeth
20,clean and jerk
21,cliff diving
22,cricket bowling
23,cricket shot
24,cutting in kitchen
25,diving
26,drumming
27,fencing
28,field hockey penalty
29,floor gymnastics
30,frisbee catch
31,front crawl
32,golf swing
33,haircut
34,hammering
35,hammer throw
36,handstand pushups
37,handstand walking
38,head massage
39,high jump
40,horse race
41,horse riding
42,hula hoop
43,ice dancing
44,javelin throw
45,juggling balls
46,jumping jack
47,jump rope
48,kayaking
49,knitting
50,long jump
51,lunges
52,military parade
53,mixing
54,mopping floor
55,nunchucks
56,parallel bars
57,pizza tossing
58,playing cello
59,playing daf
60,playing dhol
61,playing flute
62,playing guitar
63,playing piano
64,playing sitar
65,playing tabla
66,playing violin
67,pole vault
68,pommel horse
69,pull ups
70,punch
71,push ups
72,rafting
73,rock climbing indoor
74,rope climbing
75,rowing
76,salsa spin
77,shaving beard
78,shotput
79,skate boarding
80,skiing
81,skijet
82,sky diving
83,soccer juggling
84,soccer penalty
85,still rings
86,sumo wrestling
87,surfing
88,swing
89,table tennis shot
90,TaiChi
91,tennis swing
92,throw discus
93,trampoline jumping
94,typing
95,uneven bars
96,volleyball spiking
97,walking with dog
98,wall pushups
99,writing on board
100,YoYo
